"","miRNA","lncRNA"
"1","miR-200b-3p","CTD-2630F21.1"
"2","miR-200b-3p","OIP5-AS1"
"3","miR-200b-3p","XIST"
"4","miR-200b-3p","CWC15"
"5","miR-200b-3p","SCAMP1"
"6","miR-200b-3p","RP11-145M9.4"
"7","miR-200b-3p","MALAT1"
"8","miR-200b-3p","CTD-3185P2.1"
"9","miR-200b-3p","LINC00667"
"10","miR-200b-3p","PPP1R9B"
"11","miR-200b-3p","RP6-24A23.7"
"12","miR-200b-3p","ZNF518A"
"13","miR-200a-3p","LA16c-306E5.2"
"14","miR-200a-3p","OIP5-AS1"
"15","miR-200a-3p","RP11-13N13.2"
"16","miR-200a-3p","XIST"
"17","miR-200a-3p","MALAT1"
"18","miR-200a-3p","TP73-AS1"
"19","miR-200a-3p","SNHG15"
"20","miR-429","CTD-2630F21.1"
"21","miR-429","OIP5-AS1"
"22","miR-429","XIST"
"23","miR-429","SCAMP1"
"24","miR-429","CWC15"
"25","miR-429","RP11-145M9.4"
"26","miR-429","MALAT1"
"27","miR-429","CTD-3185P2.1"
"28","miR-429","LINC00667"
"29","miR-429","PPP1R9B"
"30","miR-429","RP6-24A23.7"
"31","miR-429","ZNF518A"
"32","miR-34a-5p","HCG18"
"33","miR-34a-5p","CASP8AP2"
"34","miR-34a-5p","C11orf95"
"35","miR-34a-5p","SNHG7"
"36","miR-34a-5p","XIST"
"37","miR-34a-5p","CTC-487M23.5"
"38","miR-34a-5p","CTD-3185P2.1"
"39","miR-34a-5p","LINC00667"
"40","miR-34a-5p","ERVK3-1"
"41","miR-34a-5p","RP1-5O6.6"
"42","miR-378f","OIP5-AS1"
"43","miR-378f","FBXL19-AS1"
"44","miR-378f","MALAT1"
"45","miR-378f","RP4-622L5.2"
"46","miR-30e-5p","CTA-204B4.6"
"47","miR-30e-5p","RP11-38P22.2"
"48","miR-30e-5p","DLEU2"
"49","miR-30e-5p","RP11-311C24.1"
"50","miR-30e-5p","OIP5-AS1"
"51","miR-30e-5p","RP11-158I13.2"
"52","miR-30e-5p","RP4-773N10.5"
"53","miR-30e-5p","CTD-2116N17.1"
"54","miR-30e-5p","CTB-89H12.4"
"55","miR-30e-5p","XIST"
"56","miR-30e-5p","RP11-342K6.1"
"57","miR-30e-5p","AC096772.6"
"58","miR-30e-5p","SCAMP1"
"59","miR-30e-5p","DCP1A"
"60","miR-30e-5p","EPB41L4A-AS1"
"61","miR-30e-5p","MALAT1"
"62","miR-30e-5p","NEFL"
