"","miRNA","lncRNA"
"1","miR-200b-3p","CTA-204B4.6"
"2","miR-200b-3p","CTD-2630F21.1"
"3","miR-200b-3p","CTB-92J24.2"
"4","miR-200b-3p","RP11-473I1.10"
"5","miR-200b-3p","AC005154.5"
"6","miR-200b-3p","RP13-507I23.1"
"7","miR-200b-3p","RP11-18F14.2"
"8","miR-200b-3p","RP11-214C8.5"
"9","miR-200b-3p","OIP5-AS1"
"10","miR-200b-3p","CTD-3099C6.9"
"11","miR-200b-3p","RP11-277L2.2"
"12","miR-200b-3p","RP11-429J17.7"
"13","miR-200b-3p","C11orf95"
"14","miR-200b-3p","RP4-773N10.5"
"15","miR-200b-3p","RP11-690D19.3"
"16","miR-200b-3p","XIST"
"17","miR-200b-3p","RP5-1085F17.3"
"18","miR-200b-3p","LINC00641"
"19","miR-200b-3p","RP11-361F15.2"
"20","miR-200b-3p","CWC15"
"21","miR-200b-3p","SCAMP1"
"22","miR-200b-3p","RP11-145M9.4"
"23","miR-200b-3p","MAPKAPK5-AS1"
"24","miR-200b-3p","MALAT1"
"25","miR-200b-3p","RP11-379K17.4"
"26","miR-200b-3p","CTD-3185P2.1"
"27","miR-200b-3p","MATN1-AS1"
"28","miR-200b-3p","LINC00667"
"29","miR-200b-3p","PPP1R9B"
"30","miR-200b-3p","RP6-24A23.7"
"31","miR-200b-3p","RP11-403I13.4"
"32","miR-200b-3p","ZNF518A"
"33","miR-200b-3p","RP11-305E6.4"
"34","miR-200b-3p","RP11-91G21.2"
"35","miR-200b-3p","AC005154.6"
"36","miR-200b-3p","UBXN8"
"37","miR-200a-3p","PINK1-AS"
"38","miR-200a-3p","LA16c-306E5.2"
"39","miR-200a-3p","RP11-33N16.3"
"40","miR-200a-3p","RP11-203J24.9"
"41","miR-200a-3p","RP11-106M3.2"
"42","miR-200a-3p","AC010729.1"
"43","miR-200a-3p","DYX1C1-CCPG1"
"44","miR-200a-3p","OIP5-AS1"
"45","miR-200a-3p","RP11-793H13.8"
"46","miR-200a-3p","U47924.19"
"47","miR-200a-3p","SNHG16"
"48","miR-200a-3p","TMEM161B-AS1"
"49","miR-200a-3p","CTBP1-AS1"
"50","miR-200a-3p","RP11-13N13.2"
"51","miR-200a-3p","RP11-220I1.1"
"52","miR-200a-3p","RP1-283E3.8"
"53","miR-200a-3p","DLX6-AS1"
"54","miR-200a-3p","XIST"
"55","miR-200a-3p","RP11-539I5.1"
"56","miR-200a-3p","RP5-890O3.9"
"57","miR-200a-3p","AC003665.1"
"58","miR-200a-3p","LINC00661"
"59","miR-200a-3p","EMG1"
"60","miR-200a-3p","AC016629.8"
"61","miR-200a-3p","MALAT1"
"62","miR-200a-3p","SEC22B"
"63","miR-200a-3p","C17orf76-AS1"
"64","miR-200a-3p","TP73-AS1"
"65","miR-200a-3p","SNHG15"
"66","miR-200a-3p","LINC00319"
"67","miR-200a-3p","TRAF3IP2-AS1"
"68","miR-200a-3p","RP11-469M7.1"
"69","miR-200a-3p","AD000090.2"
"70","miR-429","CTA-204B4.6"
"71","miR-429","CTD-2630F21.1"
"72","miR-429","CTB-92J24.2"
"73","miR-429","RP11-473I1.10"
"74","miR-429","AC005154.5"
"75","miR-429","RP13-507I23.1"
"76","miR-429","RP11-18F14.2"
"77","miR-429","RP11-214C8.5"
"78","miR-429","OIP5-AS1"
"79","miR-429","CTD-3099C6.9"
"80","miR-429","RP11-277L2.2"
"81","miR-429","RP11-429J17.7"
"82","miR-429","C11orf95"
"83","miR-429","RP4-773N10.5"
"84","miR-429","RP11-690D19.3"
"85","miR-429","XIST"
"86","miR-429","LINC00641"
"87","miR-429","RP11-361F15.2"
"88","miR-429","SCAMP1"
"89","miR-429","CWC15"
"90","miR-429","RP11-145M9.4"
"91","miR-429","MAPKAPK5-AS1"
"92","miR-429","RP11-379K17.4"
"93","miR-429","MALAT1"
"94","miR-429","CTD-3185P2.1"
"95","miR-429","LINC00667"
"96","miR-429","MATN1-AS1"
"97","miR-429","PPP1R9B"
"98","miR-429","RP6-24A23.7"
"99","miR-429","RP11-403I13.4"
"100","miR-429","ZNF518A"
"101","miR-429","RP11-305E6.4"
"102","miR-429","RP11-91G21.2"
"103","miR-429","AC005154.6"
"104","miR-429","UBXN8"
"105","miR-551a","CTD-2090I13.1"
"106","miR-551a","RP11-227G15.3"
"107","miR-551a","AC009948.5"
"108","miR-551a","RP11-429J17.2"
"109","miR-34a-5p","CTA-204B4.6"
"110","miR-34a-5p","CTC-444N24.8"
"111","miR-34a-5p","CTD-2090I13.1"
"112","miR-34a-5p","RP11-420G6.4"
"113","miR-34a-5p","RP1-37E16.12"
"114","miR-34a-5p","AC005863.1"
"115","miR-34a-5p","CTC-503J8.6"
"116","miR-34a-5p","AC112229.7"
"117","miR-34a-5p","HCG18"
"118","miR-34a-5p","AC078852.1"
"119","miR-34a-5p","RP11-54O7.1"
"120","miR-34a-5p","CASP8AP2"
"121","miR-34a-5p","RP11-284N8.3"
"122","miR-34a-5p","CTD-2245O6.1"
"123","miR-34a-5p","RP11-397D12.6"
"124","miR-34a-5p","C11orf95"
"125","miR-34a-5p","RP4-773N10.5"
"126","miR-34a-5p","RP11-120D5.1"
"127","miR-34a-5p","RP11-20G6.3"
"128","miR-34a-5p","KCNQ1OT1"
"129","miR-34a-5p","LINC00662"
"130","miR-34a-5p","SNHG7"
"131","miR-34a-5p","XIST"
"132","miR-34a-5p","CTC-487M23.5"
"133","miR-34a-5p","RP11-552M11.4"
"134","miR-34a-5p","RP11-156L14.1"
"135","miR-34a-5p","GNAS-AS1"
"136","miR-34a-5p","NUTM2A-AS1"
"137","miR-34a-5p","CTC-281B15.1"
"138","miR-34a-5p","DCP1A"
"139","miR-34a-5p","CTD-2020K17.1"
"140","miR-34a-5p","CTD-3185P2.1"
"141","miR-34a-5p","LINC00667"
"142","miR-34a-5p","PCBP1-AS1"
"143","miR-34a-5p","RP11-730K11.1"
"144","miR-34a-5p","NEAT1"
"145","miR-34a-5p","RP11-216F19.2"
"146","miR-34a-5p","RP11-380L11.4"
"147","miR-34a-5p","RP11-6N17.9"
"148","miR-34a-5p","AC013268.5"
"149","miR-34a-5p","ERVK3-1"
"150","miR-34a-5p","RP11-65F13.2"
"151","miR-34a-5p","RP11-153A23.6"
"152","miR-34a-5p","RP1-5O6.6"
"153","miR-34a-5p","RP11-496I9.1"
"154","miR-378f","CTA-204B4.6"
"155","miR-378f","CTC-444N24.8"
"156","miR-378f","LINC00657"
"157","miR-378f","RP11-392M18.5"
"158","miR-378f","RP11-159D12.9"
"159","miR-378f","HCG18"
"160","miR-378f","OIP5-AS1"
"161","miR-378f","CASP8AP2"
"162","miR-378f","RN7SL1"
"163","miR-378f","FBXL19-AS1"
"164","miR-378f","JPX"
"165","miR-378f","AP006222.2"
"166","miR-378f","RP5-837J1.2"
"167","miR-378f","LINC00641"
"168","miR-378f","Z97634.5"
"169","miR-378f","SLC37A4"
"170","miR-378f","RECQL4"
"171","miR-378f","LINC00094"
"172","miR-378f","RP11-701H24.5"
"173","miR-378f","MALAT1"
"174","miR-378f","RP4-622L5.2"
"175","miR-378f","RP11-405O10.2"
"176","miR-378f","RP11-519M16.1"
"177","miR-30e-5p","CTA-204B4.6"
"178","miR-30e-5p","RP11-436A20.4"
"179","miR-30e-5p","RP11-175O19.4"
"180","miR-30e-5p","RP11-226L15.5"
"181","miR-30e-5p","LINC00657"
"182","miR-30e-5p","POLDIP2"
"183","miR-30e-5p","RP11-347I19.3"
"184","miR-30e-5p","RP11-38P22.2"
"185","miR-30e-5p","RP11-119F19.2"
"186","miR-30e-5p","AC016747.3"
"187","miR-30e-5p","HNRNPU-AS1"
"188","miR-30e-5p","RP11-106M3.2"
"189","miR-30e-5p","HCG18"
"190","miR-30e-5p","DLEU2"
"191","miR-30e-5p","DYX1C1-CCPG1"
"192","miR-30e-5p","RP11-311C24.1"
"193","miR-30e-5p","OIP5-AS1"
"194","miR-30e-5p","RP11-373L24.1"
"195","miR-30e-5p","CTBP1-AS1"
"196","miR-30e-5p","RP11-158I13.2"
"197","miR-30e-5p","RP11-371I1.2"
"198","miR-30e-5p","RP4-773N10.5"
"199","miR-30e-5p","RP5-935K16.1"
"200","miR-30e-5p","CTD-2116N17.1"
"201","miR-30e-5p","CTB-89H12.4"
"202","miR-30e-5p","XIST"
"203","miR-30e-5p","RP11-342K6.1"
"204","miR-30e-5p","AC096772.6"
"205","miR-30e-5p","MIR4720"
"206","miR-30e-5p","C14orf169"
