"","miRNA","lncRNA"
"1","miR-200b-3p","CTD-2630F21.1"
"2","miR-200b-3p","RP11-473I1.10"
"3","miR-200b-3p","RP13-507I23.1"
"4","miR-200b-3p","OIP5-AS1"
"5","miR-200b-3p","RP11-429J17.7"
"6","miR-200b-3p","XIST"
"7","miR-200b-3p","CWC15"
"8","miR-200b-3p","SCAMP1"
"9","miR-200b-3p","RP11-145M9.4"
"10","miR-200b-3p","MALAT1"
"11","miR-200b-3p","CTD-3185P2.1"
"12","miR-200b-3p","LINC00667"
"13","miR-200b-3p","PPP1R9B"
"14","miR-200b-3p","RP6-24A23.7"
"15","miR-200b-3p","ZNF518A"
"16","miR-200b-3p","RP11-91G21.2"
"17","miR-200a-3p","LA16c-306E5.2"
"18","miR-200a-3p","AC010729.1"
"19","miR-200a-3p","OIP5-AS1"
"20","miR-200a-3p","SNHG16"
"21","miR-200a-3p","TMEM161B-AS1"
"22","miR-200a-3p","RP11-13N13.2"
"23","miR-200a-3p","XIST"
"24","miR-200a-3p","MALAT1"
"25","miR-200a-3p","SEC22B"
"26","miR-200a-3p","C17orf76-AS1"
"27","miR-200a-3p","TP73-AS1"
"28","miR-200a-3p","SNHG15"
"29","miR-200a-3p","TRAF3IP2-AS1"
"30","miR-200a-3p","RP11-469M7.1"
"31","miR-429","CTD-2630F21.1"
"32","miR-429","RP11-473I1.10"
"33","miR-429","RP13-507I23.1"
"34","miR-429","OIP5-AS1"
"35","miR-429","RP11-429J17.7"
"36","miR-429","XIST"
"37","miR-429","SCAMP1"
"38","miR-429","CWC15"
"39","miR-429","RP11-145M9.4"
"40","miR-429","MALAT1"
"41","miR-429","CTD-3185P2.1"
"42","miR-429","LINC00667"
"43","miR-429","PPP1R9B"
"44","miR-429","RP6-24A23.7"
"45","miR-429","ZNF518A"
"46","miR-429","RP11-91G21.2"
"47","miR-34a-5p","CTC-444N24.8"
"48","miR-34a-5p","AC112229.7"
"49","miR-34a-5p","HCG18"
"50","miR-34a-5p","RP11-54O7.1"
"51","miR-34a-5p","CASP8AP2"
"52","miR-34a-5p","CTD-2245O6.1"
"53","miR-34a-5p","C11orf95"
"54","miR-34a-5p","RP11-20G6.3"
"55","miR-34a-5p","KCNQ1OT1"
"56","miR-34a-5p","SNHG7"
"57","miR-34a-5p","XIST"
"58","miR-34a-5p","CTC-487M23.5"
"59","miR-34a-5p","GNAS-AS1"
"60","miR-34a-5p","DCP1A"
"61","miR-34a-5p","CTD-3185P2.1"
"62","miR-34a-5p","LINC00667"
"63","miR-34a-5p","PCBP1-AS1"
"64","miR-34a-5p","RP11-216F19.2"
"65","miR-34a-5p","RP11-6N17.9"
"66","miR-34a-5p","AC013268.5"
"67","miR-34a-5p","ERVK3-1"
"68","miR-34a-5p","RP1-5O6.6"
